"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Seriño M.N.V.; Klasen S.","Seriño, Moises Neil V. (37039524700); Klasen, Stephan (6603894637)","37039524700; 6603894637","Estimation and determinants of the Philippines' household carbon footprint","2015","Developing Economies","53","1","","44","62","18","45","10.1111/deve.12065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923838116&doi=10.1111%2fdeve.12065&partnerID=40&md5=5169960c54f19826cdc3016f520048ac","Article","Final","","Scopus","2-s2.0-84923838116"
"Tsuzuki Y.","Tsuzuki, Yoshiaki (14030853100)","14030853100","Evaluation of the soft measures' effects on ambient water quality improvement and household and industry economies","2014","Journal of Cleaner Production","66","","","577","587","10","6","10.1016/j.jclepro.2013.10.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893782170&doi=10.1016%2fj.jclepro.2013.10.047&partnerID=40&md5=685dc589153e60a381de9f6a7215ddde","Article","Final","","Scopus","2-s2.0-84893782170"
"Berrill P.; Miller T.R.; Kondo Y.; Hertwich E.G.","Berrill, Peter (57090990900); Miller, T. Reed (57194131172); Kondo, Yasushi (57203953434); Hertwich, Edgar G. (6701785583)","57090990900; 57194131172; 57203953434; 6701785583","Capital in the American carbon, energy, and material footprint","2020","Journal of Industrial Ecology","24","3","","589","600","11","38","10.1111/jiec.12953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070803889&doi=10.1111%2fjiec.12953&partnerID=40&md5=a0b70b17e2fbca5007a5fa86c8fa43bf","Article","Final","","Scopus","2-s2.0-85070803889"
"Zhong H.; Feng K.; Sun L.; Cheng L.; Hubacek K.","Zhong, Honglin (36678598700); Feng, Kuishuang (35169268500); Sun, Laixiang (15821588400); Cheng, Li (57218679826); Hubacek, Klaus (55802235200)","36678598700; 35169268500; 15821588400; 57218679826; 55802235200","Household carbon and energy inequality in Latin American and Caribbean countries","2020","Journal of Environmental Management","273","","110979","","","","62","10.1016/j.jenvman.2020.110979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090011689&doi=10.1016%2fj.jenvman.2020.110979&partnerID=40&md5=4b5496a8b81b2c90536b52dc8b8f5a3e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85090011689"
"Liu J.; Lin C.; Huang L.; Zhu J.; Wu L.; Li Y.","Liu, Jun (57195265955); Lin, Chu (57195738258); Huang, Li (57194683145); Zhu, Jianghuan (57195738360); Wu, Lijun (57195736710); Li, Yunyun (57191876199)","57195265955; 57195738258; 57194683145; 57195738360; 57195736710; 57191876199","Use of household survey data as a tool to assess the carbon footprint of rural tourist accommodation and related services in China: A case study of Mount Qingcheng","2017","Sustainability (Switzerland)","9","10","1680","","","","14","10.3390/su9101680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029713412&doi=10.3390%2fsu9101680&partnerID=40&md5=e7b7f04ff913b227efa1a56e753e3813","Article","Final","","Scopus","2-s2.0-85029713412"
"Ala-Mantila S.; Ottelin J.; Heinonen J.; Junnila S.","Ala-Mantila, Sanna (55657695800); Ottelin, Juudit (56335553000); Heinonen, Jukka (46961272400); Junnila, Seppo (57213561600)","55657695800; 56335553000; 46961272400; 57213561600","To each their own? The greenhouse gas impacts of intra-household sharing in different urban zones","2016","Journal of Cleaner Production","135","","","356","367","11","83","10.1016/j.jclepro.2016.05.156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027917725&doi=10.1016%2fj.jclepro.2016.05.156&partnerID=40&md5=d2dc9472d65599cae5e2cd4f42218b57","Article","Final","","Scopus","2-s2.0-85027917725"
"Wang X.; Chen S.","Wang, Xiangru (57216661276); Chen, Shaoqing (36924631500)","57216661276; 36924631500","Urban-rural carbon footprint disparity across China from essential household expenditure: Survey-based analysis, 2010–2014","2020","Journal of Environmental Management","267","","110570","","","","34","10.1016/j.jenvman.2020.110570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084208864&doi=10.1016%2fj.jenvman.2020.110570&partnerID=40&md5=98aa3c5a51d49459081d35a7b3ec7063","Article","Final","","Scopus","2-s2.0-85084208864"
"Ramirez A.D.; Crespo K.; Salas D.A.; Boero A.J.","Ramirez, Angel D. (53865403200); Crespo, Karla (57205265170); Salas, Daniel A. (57188689543); Boero, Andrea J. (57188681313)","53865403200; 57205265170; 57188689543; 57188681313","LIFE CYCLE ASSESSMENT of A HOUSEHOLD in ECUADOR","2020","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","8","","","","","","0","10.1115/IMECE2020-23199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101281430&doi=10.1115%2fIMECE2020-23199&partnerID=40&md5=748091a7828fd5aacf65722388b48235","Conference paper","Final","","Scopus","2-s2.0-85101281430"
"Li Q.; Wu S.; Lei Y.; Li S.","Li, Qiuping (57204550684); Wu, Sanmang (55237898800); Lei, Yalin (23389590700); Li, Shantong (56726856900)","57204550684; 55237898800; 23389590700; 56726856900","Dynamic features and driving forces of indirect CO2 emissions from Chinese household: A comparative and mitigation strategies analysis","2020","Science of the Total Environment","704","","135367","","","","26","10.1016/j.scitotenv.2019.135367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076783385&doi=10.1016%2fj.scitotenv.2019.135367&partnerID=40&md5=815ac38ee8611e9b0f3ebfdd71701640","Article","Final","","Scopus","2-s2.0-85076783385"
"Fremstad A.; Paul M.; Underwood A.","Fremstad, Anders (36997768000); Paul, Mark (57193954796); Underwood, Anthony (56435657700)","36997768000; 57193954796; 56435657700","Work Hours and CO2 Emissions: Evidence from U.S. Households","2019","Review of Political Economy","31","1","","42","59","17","31","10.1080/09538259.2019.1592950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068064439&doi=10.1080%2f09538259.2019.1592950&partnerID=40&md5=c3b0b60876ead9f15cb4c50f16598726","Article","Final","","Scopus","2-s2.0-85068064439"
"Miehe R.; Scheumann R.; Jones C.M.; Kammen D.M.; Finkbeiner M.","Miehe, Robert (56529640100); Scheumann, Rene (19338187200); Jones, Christopher M. (57203288324); Kammen, Daniel M. (7004564550); Finkbeiner, Matthias (56262719600)","56529640100; 19338187200; 57203288324; 7004564550; 56262719600","Regional carbon footprints of households: a German case study","2016","Environment, Development and Sustainability","18","2","","577","591","14","70","10.1007/s10668-015-9649-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961191909&doi=10.1007%2fs10668-015-9649-7&partnerID=40&md5=a84e824e289e55fb42f84307f2801c2e","Article","Final","","Scopus","2-s2.0-84961191909"
"Markaki M.; Belegri-Roboli A.; Sarafidis Υ.; Mirasgedis S.","Markaki, M. (56600337100); Belegri-Roboli, A. (8516554700); Sarafidis, Υ. (57191826994); Mirasgedis, S. (6602877030)","56600337100; 8516554700; 57191826994; 6602877030","The carbon footprint of Greek households (1995–2012)","2017","Energy Policy","100","","","206","215","9","50","10.1016/j.enpol.2016.10.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994000450&doi=10.1016%2fj.enpol.2016.10.031&partnerID=40&md5=fe64d8cb595dc5e64e23fc503ceb870a","Article","Final","","Scopus","2-s2.0-84994000450"
"Cai M.; Vandyck T.","Cai, Mattia (36631635300); Vandyck, Toon (55212279300)","36631635300; 55212279300","Bridging between economy-wide activity and household-level consumption data: Matrices for European countries","2020","Data in Brief","30","","105395","","","","26","10.1016/j.dib.2020.105395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081732017&doi=10.1016%2fj.dib.2020.105395&partnerID=40&md5=7356c724d4659a2402f04bd910ab4185","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85081732017"
"Ramaswami A.; Chavez A.","Ramaswami, Anu (7004297575); Chavez, Abel (47860994100)","7004297575; 47860994100","What metrics best reflect the energy and carbon intensity of cities? Insights from theory and modeling of 20 US cities","2013","Environmental Research Letters","8","3","035011","","","","50","10.1088/1748-9326/8/3/035011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885458611&doi=10.1088%2f1748-9326%2f8%2f3%2f035011&partnerID=40&md5=f6d5739169a22db768121eab48b34ed7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84885458611"
"Ali M.; Marvuglia A.; Geng Y.; Chaudhry N.; Khokhar S.","Ali, Mustafa (57077467400); Marvuglia, Antonino (6504512863); Geng, Yong (7103277844); Chaudhry, Nawaz (8726274500); Khokhar, Shahid (56825391900)","57077467400; 6504512863; 7103277844; 8726274500; 56825391900","Emergy based carbon footprinting of household solid waste management scenarios in Pakistan","2018","Resources, Conservation and Recycling","131","","","283","296","13","43","10.1016/j.resconrec.2017.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033214738&doi=10.1016%2fj.resconrec.2017.10.011&partnerID=40&md5=13f527dcaa4674a8681b1fe9a95e6340","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85033214738"
"Lyons S.; Pentecost A.; Tol R.S.J.","Lyons, Sean (23667987400); Pentecost, Anne (55344881000); Tol, Richard S.J. (55765581600)","23667987400; 55344881000; 55765581600","Socioeconomic distribution of emissions and resource use in Ireland","2012","Journal of Environmental Management","112","","","186","198","12","33","10.1016/j.jenvman.2012.07.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865408868&doi=10.1016%2fj.jenvman.2012.07.019&partnerID=40&md5=1ad78335a79a1046bfcc117a386261ba","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84865408868"
"López L.A.; Arce G.; Morenate M.; Monsalve F.","López, Luis Antonio (23100482700); Arce, Guadalupe (57193236444); Morenate, Manuel (57190064107); Monsalve, Fabio (12761342500)","23100482700; 57193236444; 57190064107; 12761342500","Assessing the Inequality of Spanish Households through the Carbon Footprint: The 21st Century Great Recession Effect","2016","Journal of Industrial Ecology","20","3","","571","581","10","39","10.1111/jiec.12466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977138584&doi=10.1111%2fjiec.12466&partnerID=40&md5=7b106f2a20d5e01a0d65d768b0786a57","Article","Final","","Scopus","2-s2.0-84977138584"
"Krause A.; Rotter V.S.","Krause, Ariane (57193535022); Rotter, Vera Susanne (9633663500)","57193535022; 9633663500","Linking energy-sanitation-agriculture: Intersectional resource management in smallholder households in Tanzania","2017","Science of the Total Environment","590-591","","","514","530","16","17","10.1016/j.scitotenv.2017.02.205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014596916&doi=10.1016%2fj.scitotenv.2017.02.205&partnerID=40&md5=7473706bedaa08ef3a008afed9bc2371","Article","Final","","Scopus","2-s2.0-85014596916"
"Clarke J.; Heinonen J.; Ottelin J.","Clarke, Jack (57195604083); Heinonen, Jukka (46961272400); Ottelin, Juudit (56335553000)","57195604083; 46961272400; 56335553000","Emissions in a decarbonised economy? Global lessons from a carbon footprint analysis of Iceland","2017","Journal of Cleaner Production","166","","","1175","1186","11","57","10.1016/j.jclepro.2017.08.108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029168206&doi=10.1016%2fj.jclepro.2017.08.108&partnerID=40&md5=33459f33eccfafdd971368103b0d900f","Article","Final","","Scopus","2-s2.0-85029168206"
"Chen S.; Chen B.","Chen, Shaoqing (36924631500); Chen, Bin (55503929500)","36924631500; 55503929500","Tracking Inter-Regional Carbon Flows: A Hybrid Network Model","2016","Environmental Science and Technology","50","9","","4731","4741","10","102","10.1021/acs.est.5b06299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968831975&doi=10.1021%2facs.est.5b06299&partnerID=40&md5=56ae50a32918647e98f904a2766cd39c","Article","Final","","Scopus","2-s2.0-84968831975"
"Chen G.; Wiedmann T.; Hadjikakou M.; Rowley H.","Chen, Guangwu (56898280400); Wiedmann, Thomas (11940678500); Hadjikakou, Michalis (37665015300); Rowley, Hazel (15519671400)","56898280400; 11940678500; 37665015300; 15519671400","City carbon footprint networks","2016","Energies","9","8","602","","","","62","10.3390/en9080602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982899866&doi=10.3390%2fen9080602&partnerID=40&md5=9e591cec55e48c4dbad241679281d894","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84982899866"
"Yao L.; Liu J.; Wang R.; Yin K.","Yao, Liang (50761579200); Liu, Jingru (56242905600); Wang, Rusong (35089011800); Yin, Ke (54397805400)","50761579200; 56242905600; 35089011800; 54397805400","Carbon footprint accounting of regional household consumption in China through multi-regional input-output model","2013","Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae","33","7","","2050","2058","8","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880341503&partnerID=40&md5=e539c0d5683e6b3d40f412a3ce6747b7","Article","Final","","Scopus","2-s2.0-84880341503"
"Salemdeeb R.; Font Vivanco D.; Al-Tabbaa A.; zu Ermgassen E.K.H.J.","Salemdeeb, Ramy (57189356646); Font Vivanco, David (55314376700); Al-Tabbaa, Abir (7004116785); zu Ermgassen, Erasmus K.H.J. (56154666000)","57189356646; 55314376700; 7004116785; 56154666000","A holistic approach to the environmental evaluation of food waste prevention","2017","Waste Management","59","","","442","450","8","77","10.1016/j.wasman.2016.09.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000761533&doi=10.1016%2fj.wasman.2016.09.042&partnerID=40&md5=161e9b335c619a446e9161fe1adc0ccb","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85000761533"
"Ala-Mantila S.; Heinonen J.; Junnila S.","Ala-Mantila, Sanna (55657695800); Heinonen, Jukka (46961272400); Junnila, Seppo (57213561600)","55657695800; 46961272400; 57213561600","Relationship between urbanization, direct and indirect greenhouse gas emissions, and expenditures: A multivariate analysis","2014","Ecological Economics","104","","","129","139","10","155","10.1016/j.ecolecon.2014.04.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901381776&doi=10.1016%2fj.ecolecon.2014.04.019&partnerID=40&md5=a941ef36c1ba388c563cf89d0c499f3e","Article","Final","","Scopus","2-s2.0-84901381776"
"Tao Z.; Tao G.; Jin H.; Yi X.; Jin F.","Tao, Zhao (57199668008); Tao, Guo (56316319500); Jin, Hong (56316670400); Yi, Xu (57198773624); Jin, Fan (56316722200)","57199668008; 56316319500; 56316670400; 57198773624; 56316722200","Trends and spatial distribution of embedded carbon footprints in china","2014","Energy and Environment","25","5","","915","930","15","1","10.1260/0958-305X.25.5.915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905752960&doi=10.1260%2f0958-305X.25.5.915&partnerID=40&md5=d7b6b99e51113403fe7c951cce93b956","Article","Final","","Scopus","2-s2.0-84905752960"
"Minx J.C.; Wiedmann T.; Wood R.; Peters G.P.; Lenzen M.; Owen A.; Scott K.; Barrett J.; Hubacek K.; Baiocchi G.; Paul A.; Dawkins E.; Briggs J.; Guan D.; Suh S.; Ackerman F.","Minx, J.C. (8513127600); Wiedmann, T. (11940678500); Wood, R. (57196060442); Peters, G.P. (10639594300); Lenzen, M. (7003767895); Owen, A. (7202052797); Scott, K. (56870550100); Barrett, J. (7403498603); Hubacek, K. (55802235200); Baiocchi, G. (16644723000); Paul, A. (57206860857); Dawkins, E. (35773037400); Briggs, J. (57206372204); Guan, D. (15839411900); Suh, S. (7201479719); Ackerman, F. (36877553300)","8513127600; 11940678500; 57196060442; 10639594300; 7003767895; 7202052797; 56870550100; 7403498603; 55802235200; 16644723000; 57206860857; 35773037400; 57206372204; 15839411900; 7201479719; 36877553300","Input-output analysis and carbon footprinting: An overview of applications","2009","Economic Systems Research","21","3","","187","216","29","413","10.1080/09535310903541298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949350444&doi=10.1080%2f09535310903541298&partnerID=40&md5=3b554ee8c4531ef73d3a92ce568db6a9","Article","Final","","Scopus","2-s2.0-77949350444"
"Druckman A.; Jackson T.","Druckman, Angela (23034083500); Jackson, Tim (25926485600)","23034083500; 25926485600","The carbon footprint of UK households 1990-2004: A socio-economically disaggregated, quasi-multi-regional input-output model","2009","Ecological Economics","68","7","","2066","2077","11","461","10.1016/j.ecolecon.2009.01.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349127524&doi=10.1016%2fj.ecolecon.2009.01.013&partnerID=40&md5=1f7a20dfbc29c3ceb70fd2b1cc9242aa","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-65349127524"
"Vetoné Z.","Vetoné, Zsófia (37105217400)","37105217400","Applying consumer responsibility principle in evaluating environmental load of carbon emissions","2011","Society and Economy","33","1","","131","144","13","3","10.1556/SocEc.33.2011.1.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955126804&doi=10.1556%2fSocEc.33.2011.1.10&partnerID=40&md5=5ee7dd39a29c9cae039efaf9f257bbfe","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-79955126804"
"Druckman A.; Jackson T.","Druckman, Angela (23034083500); Jackson, Tim (25926485600)","23034083500; 25926485600","The bare necessities: How much household carbon do we really need?","2010","Ecological Economics","69","9","","1794","1804","10","99","10.1016/j.ecolecon.2010.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955551850&doi=10.1016%2fj.ecolecon.2010.04.018&partnerID=40&md5=affae627e788d106dabf690c9febb6a2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77955551850"
"McGregor P.G.; Swales J.K.; Turner K.","McGregor, Peter G. (7006771631); Swales, J. Kim (55663261000); Turner, Karen (9334515000)","7006771631; 55663261000; 9334515000","The CO2 'trade balance' between Scotland and the rest of the UK: Performing a multi-region environmental input-output analysis with limited data","2008","Ecological Economics","66","4","","662","673","11","94","10.1016/j.ecolecon.2007.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45249119729&doi=10.1016%2fj.ecolecon.2007.11.001&partnerID=40&md5=8b693dab4de40c49e459e24c0cb62963","Article","Final","","Scopus","2-s2.0-45249119729"
"Hawkins T.R.; Dente S.M.R.","Hawkins, Troy R. (7006670809); Dente, Sébastien M. R. (37033721900)","7006670809; 37033721900","Greenhouse gas emissions driven by the transportation of goods associated with French consumption","2010","Environmental Science and Technology","44","22","","8656","8664","8","26","10.1021/es9025529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449254840&doi=10.1021%2fes9025529&partnerID=40&md5=d60b7c26cb6ca21ba6698db8075144e4","Article","Final","","Scopus","2-s2.0-78449254840"
"Turner K.; Munday M.; McIntyre S.; Jensen C.D.","Turner, Karen (9334515000); Munday, Max (7005612035); McIntyre, Stuart (37108069000); Jensen, Christa D. (36866332500)","9334515000; 7005612035; 37108069000; 36866332500","Incorporating jurisdiction issues into regional carbon accounts under production and consumption accounting principles","2011","Environment and Planning A","43","3","","722","741","19","18","10.1068/a43234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955367016&doi=10.1068%2fa43234&partnerID=40&md5=b044cbc7600638a37597932d6183b294","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-79955367016"
"Liu J.; Liu R.; Yao L.","Liu, Jingru (56242905600); Liu, Ruiquan (55446516300); Yao, Liang (50761579200)","56242905600; 55446516300; 50761579200","Definition and research progress of sustainable consumption: From industrial ecology view","2012","Shengtai Xuebao/ Acta Ecologica Sinica","32","20","","6553","6557","4","1","10.5846/stxb201203170361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868336045&doi=10.5846%2fstxb201203170361&partnerID=40&md5=7133089511edbb1f3b46cb06dc16d4af","Article","Final","","Scopus","2-s2.0-84868336045"
"Zhao D.; Fan J.; Guo X.; Marinova D.; Wu Y.","Zhao, Dingtao (56431710200); Fan, Jin (55133716000); Guo, Xiumei (50661439200); Marinova, Dora (6701561637); Wu, Yanrui (55824226100)","56431710200; 55133716000; 50661439200; 6701561637; 55824226100","The embedded carbon footprint of urban households in China and its evolution","2011","MODSIM 2011 - 19th International Congress on Modelling and Simulation - Sustaining Our Future: Understanding and Living with Uncertainty","","","","1738","1744","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863364216&partnerID=40&md5=b91cfd936c12d4053e8dd404790a7117","Conference paper","Final","","Scopus","2-s2.0-84863364216"
"Weber C.L.; Matthews H.S.","Weber, Christopher L. (14017121300); Matthews, H. Scott (7202534265)","14017121300; 7202534265","Quantifying the global and distributional aspects of American household carbon footprint","2008","Ecological Economics","66","2-3","","379","391","12","448","10.1016/j.ecolecon.2007.09.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349167843&doi=10.1016%2fj.ecolecon.2007.09.021&partnerID=40&md5=039ec3622516933695f2ddf8675b37cd","Article","Final","","Scopus","2-s2.0-44349167843"
